M,artifact_content,artifact_encoding,artifact_name,artifact_sha256,artifact_size_bytes,authoritative_latency,benchmark_commit,cann_version,case,detail,device,device_index,device_name,eps,fp32_atol,fp32_out_dtype,fp32_rtol,hidden_dim,hidden_dtype,inner_repeat,input_layout,logical_bandwidth_GBps,logical_bytes,max_abs_fp32_out,max_abs_output,max_abs_residual_out,mean_us,measurement_source,model_context,msprof_threshold_us,num_vector_cores,output_atol,output_dtype,output_rtol,p20_us,p50_us,p80_us,phase,python_version,record_type,requires_msprof_op,residual_dtype,residual_out_dtype,rounds,scope,seed,speedup_vs_baseline,status,torch_npu_version,torch_version,triton_version,variant,warmup,weight_dtype
1,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m1,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,200,contiguous_2d,0.9989835894907928,32768,,,,32.85795450210571,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.72270202636719,32.801339626312256,32.97416687011719,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,baseline,5,bfloat16
1,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m1,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,200,contiguous_2d,0.9982922235973702,32768,,,,32.81728267669678,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.69135665893555,32.82405614852905,32.927995681762695,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,0.9993079306800474,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,candidate,5,bfloat16
2,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m2,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,200,contiguous_2d,2.007445504275202,65536,,,,32.85337766011556,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.585885524749756,32.64646530151367,32.84453535079956,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,baseline,5,bfloat16
2,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m2,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,200,contiguous_2d,2.011669550198739,65536,,,,32.59162982304891,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.487857818603516,32.57791519165039,32.65374517440796,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.002104189585491,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,candidate,5,bfloat16
4,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m4,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,200,contiguous_2d,4.038210609300957,131072,,,,32.5156044960022,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.42884874343872,32.45794057846069,32.607136249542236,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,baseline,5,bfloat16
4,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m4,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,200,contiguous_2d,4.045188593476127,131072,,,,32.44341002570258,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.36320734024048,32.40195035934448,32.501060962677,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0017279891640865,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,candidate,5,bfloat16
8,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m8,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,200,contiguous_2d,8.093744428209687,262144,,,,32.363693184322784,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.288034439086914,32.38847017288208,32.41971445083618,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,baseline,5,bfloat16
8,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m8,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,200,contiguous_2d,8.105303907172216,262144,,,,32.39272912343343,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.30659341812134,32.34227895736694,32.48132610321045,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.001428199156158,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,candidate,5,bfloat16
16,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m16,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,200,contiguous_2d,16.249124415340667,524288,,,,32.225310537550186,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.10930299758911,32.265615463256836,32.28558111190796,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,baseline,5,bfloat16
16,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m16,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,200,contiguous_2d,16.28438572415801,524288,,,,32.213384840223526,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.13894748687744,32.195749282836914,32.30402374267578,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.002170043623031,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,candidate,5,bfloat16
32,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m32,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,100,contiguous_2d,32.348222290572664,1048576,,,,32.44252549277412,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.4009895324707,32.41525888442993,32.51628065109253,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,baseline,5,bfloat16
32,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m32,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,100,contiguous_2d,32.28134910173215,1048576,,,,32.51445982191298,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.43157243728638,32.48240947723389,32.55233907699585,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,0.9979327089989731,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,candidate,5,bfloat16
64,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m64,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,100,contiguous_2d,64.61393743891455,2097152,,,,32.43366797765096,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.38362216949463,32.456650733947754,32.501994132995605,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,baseline,5,bfloat16
64,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m64,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,100,contiguous_2d,64.66025732840109,2097152,,,,32.48906426959567,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.41643524169922,32.43340015411377,32.58027362823486,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.000716871488142,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,candidate,5,bfloat16
128,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m128,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,100,contiguous_2d,128.83427339480286,4194304,,,,32.54275427924262,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.4126501083374,32.555809020996094,32.63862085342407,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,baseline,5,bfloat16
128,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,decode_m128,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,100,contiguous_2d,128.8161041010566,4194304,,,,32.566750049591064,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,32.49401235580444,32.56040096282959,32.647433280944824,decode,3.11.10,performance,False,float32,float32,9,kernel,20260817,0.9998589715821148,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,candidate,5,bfloat16
4096,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,prefill_m4096,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,20,contiguous_2d,1137.3506393444804,134217728,,,,118.08068487379286,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,117.69131422042847,118.00910234451294,118.55751276016235,prefill,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,baseline,5,bfloat16
4096,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,prefill_m4096,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,20,contiguous_2d,1126.9921876709147,134217728,,,,119.10436550776164,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,118.67614984512329,119.09375190734863,119.51777696609497,prefill,3.11.10,performance,False,float32,float32,9,kernel,20260817,0.9908924729848169,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,candidate,5,bfloat16
8192,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,prefill_m8192,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,10,contiguous_2d,936.281468604568,268435456,,,,286.804821756151,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,286.4130926132202,286.70380115509033,286.9289827346802,prefill,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,baseline,5,bfloat16
8192,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,prefill_m8192,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,10,contiguous_2d,937.6187486811993,268435456,,,,286.37499544355603,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,285.9856939315796,286.29488945007324,286.7947578430176,prefill,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0014282885237755,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,candidate,5,bfloat16
9616,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,prefill_m9616,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,10,contiguous_2d,933.5501729457839,315097088,,,,337.55475415123834,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,337.20783710479736,337.5256061553955,337.87033557891846,prefill,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,baseline,5,bfloat16
9616,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,prefill_m9616,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,10,contiguous_2d,935.1405297974425,315097088,,,,336.8918869230482,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,336.5782642364502,336.9515895843506,337.23833084106445,prefill,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0017035579851485,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,candidate,5,bfloat16
16384,,,,,,True,23099ea8929c60e781890725c5ea606f62db1426,9.1.0,prefill_m16384,,npu:4,4,Ascend950PR_957b,1e-05,,float32,,2048,bfloat16,5,contiguous_2d,939.6339248373116,536870912,,,,571.3079823387993,npu_event_repeated_average,welmv4_ppln_post_attention,30.0,56,,bfloat16,,570.8697319030762,571.361780166626,571.9906044006348,prefill,3.11.10,performance,False,float32,float32,9,kernel,20260817,1.0,MEASURED,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,baseline,5,bfloat16
